CPU Socket,Chipset,CrossFire Support,Form Factor,Manufacturer,Maximum Supported Memory,Memory Type,Name,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,Prices,RAID Support,SLI Support
LGA1151,Intel Z270,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866,Asus STRIX Z270H ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[169.0, 169.0, 169.99, 174.99]",Yes,Yes
LGA1151,Intel B150,Yes,ATX,Asus,64GB,DDR4-2133,Asus B150 PRO GAMING/AURA ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[121.99, 119.0, 119.0, 119.0, 130.22]",No,No
LGA1151,Intel H170,Yes,Micro ATX,Gigabyte,64GB,DDR4-2133,Gigabyte GA-H170M-D3H Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[95.79],Yes,No
LGA1151,Intel B150,No,Mini ITX,Asus,32GB,DDR4-2133,Asus B150I PRO GAMING/WIFI/AURA Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[122.99, 124.99, 124.99]",No,No
LGA1151,Intel Z170,Yes,Micro ATX,ASRock,64GB,DDR4-2133 / 2400 / 2800 / 2933 / 3200 / 3466,ASRock Z170M Extreme4 Micro ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[118.99, 124.99, 124.99, 135.94]",Yes,Yes
LGA1151,Intel Z170,No,Mini ITX,EVGA,32GB,DDR4-1866 / 2133 / 2400 / 2800 / 3000 / 3200,EVGA Z170 Stinger Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[140.99, 169.98]",Yes,No
LGA1151,Intel Z170,No,Mini ITX,Gigabyte,32GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333,Gigabyte GA-Z170N-Gaming 5 Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[149.99, 154.99, 154.99, 160.88]",Yes,No
AM3+/AM3,AMD 990FX,Yes,ATX,MSI,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133,MSI 990FXA-GAMING ATX AM3+/AM3 Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[129.99, 159.98, 129.99, 149.99]",Yes,Yes
FM2+,AMD A68M,No,Mini ITX,ASRock,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2133 / 2400,ASRock A68M-ITX Mini ITX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[63.49],Yes,No
FM2+,AMD A88X,No,Mini ITX,Gigabyte,64GB,DDR3-1333 / 1600 / 1866 / 2133,Gigabyte GA-F2A88XN-WIFI Mini ITX FM2+ Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[94.99, 96.88, 94.99, 100.0, 94.98]",Yes,No
LGA1150,Intel H97,Yes,Micro ATX,Gigabyte,32GB,DDR3-1066 / 1333 / 1600,Gigabyte GA-H97M-D3H Micro ATX LGA1150 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,[84.0],Yes,No
AM1,AMD AM1,No,Mini ITX,ASRock,16GB,DDR3-1066 / 1333 / 1600,ASRock AM1B-ITX Mini ITX AM1 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[34.99, 34.99, 44.99]",No,No
LGA1151,Intel Z170,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400,Asus Z170-DELUXE ATX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[299.99, 289.45, 299.99, 314.98, 318.89]",Yes,Yes
AM3+,AMD 990FX,Yes,ATX,Gigabyte,32GB,DDR3-1066 / 1333 / 1600 / 1866 / 2000,Gigabyte GA-990FX-Gaming ATX AM3+ Motherboard,1 x 10/100/1000 Mbps,Yes,No,"[126.99, 134.98, 140.38, 143.56, 143.63]",Yes,Yes
LGA1151,Intel Z170,No,Mini ITX,Gigabyte,32GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200,Gigabyte GA-Z170N-WIFI Mini ITX LGA1151 Motherboard,2 x 10/100/1000 Mbps,Yes,Depends on CPU,"[134.99, 134.99, 134.99]",Yes,No
LGA1155,Intel P67,No,Micro ATX,Intel,32GB,DDR3-1066 / 1333,Intel DP67DEB3 Micro ATX LGA1155 Motherboard,1 x 10/100/1000 Mbps,No,No,[128.99],Yes,No
LGA1151,Intel Z170,No,Mini ITX,Asus,32GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3800 / 4000,Asus MAXIMUS VIII IMPACT Mini ITX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Yes,"[224.99, 224.99, 229.99, 238.99, 238.99]",Yes,No
LGA1151,Intel Z270,Yes,ATX,Asus,64GB,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866,Asus TUF Z270 MARK 1 ATX LGA1151 Motherboard,1 x 10/100/1000 Mbps,Yes,Depends on CPU,"[249.0, 249.99, 249.99, 249.99, 249.99]",Yes,Yes
