Cache,Capacity,Hybrid SSD Cache,Manufacturer,Name,Power Loss Protection,Price/GB,Prices,RPM,is_ssd,LAUNCHED
64MB,1TB,,Western Digital,"Western Digital Caviar Blue 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.050,"[49.66, 49.69, 49.99, 49.99, 49.99, 49.99, 53.79, 55.99, 49.99, 59.75, 59.99, 54.99]",7200,No,Q1 2011
64MB,2TB,,Western Digital,"Western Digital BLACK SERIES 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.058,"[116.99, 117.99, 124.99, 125.89, 126.99, 132.99, 137.99, 139.99, 151.99]",7200,No,Q2 2002
64MB,2TB,8GB,Seagate,"Seagate FireCuda 2TB 3.5"" 7200RPM Hybrid Internal Hard Drive",,$0.050,"[99.99, 104.89, 104.99, 99.99, 109.99, 104.99, 119.99, 119.99]",7200,No,Q2 2012
N/A,90GB,,Corsair,"Corsair Force Series 3 90GB 2.5"" Solid State Drive",,$1.33,[119.99],,Yes,Q4 2006
64MB,2TB,,Seagate,"Seagate Constellation ES.2 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.070,[139.29],7200,No,Q4 2008
8MB,320GB,,Western Digital,"Western Digital AV 320GB 3.5"" 7200RPM Internal Hard Drive",,$0.26,[82.68],7200,No,Q3 2003
N/A,180GB,,Intel,Intel 530 Series 180GB M.2-2280 Solid State Drive,,$0.50,[89.99],,Yes,Q1 2014
64MB,1TB,,Seagate,"Seagate Constellation ES 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.094,[93.99],7200,No,Q1 2003
N/A,120GB,,Corsair,"Corsair Force Series 3 120GB 2.5"" Solid State Drive",,$1.29,[154.99],,Yes,Q3 2015
N/A,240GB,,Corsair,"Corsair Force Series 3 240GB 2.5"" Solid State Drive",,$1.10,[264.99],,Yes,Q2 2007
N/A,90GB,,OCZ,"OCZ Vertex 2 90GB 2.5"" Solid State Drive",,$1.54,[129.99],,Yes,Q3 2009
N/A,192GB,,Transcend,"Transcend Transcend MLC 192GB 2.5"" Solid State Drive",,$2.69,[517.23],,Yes,Q3 2007
64MB,300GB,,Hitachi,"Hitachi Ultrastar C10K900 300GB 2.5"" 10000RPM Internal Hard Drive",,$0.58,[166.25],10000,No,Q1 2000
16MB,500GB,,Hitachi,"Hitachi Travelstar 500GB 2.5"" 7200RPM Internal Hard Drive",,$0.12,[52.99],7200,No,Q3 2001
8MB,250GB,,Seagate,"Seagate 250GB 2.5"" 5400RPM Internal Hard Drive",,$0.20,[42.75],5400,No,Q1 2013
128MB,3TB,,Seagate,"Seagate Constellation<br/>Product Series:ES.3 3TB 3.5"" 7200RPM Internal Hard Drive",,$0.063,[188.91],7200,No,Q4 2008
8MB,750GB,,Toshiba,"Toshiba 750GB 2.5"" 5400RPM Internal Hard Drive",,$0.13,[93.89],5400,No,Q3 2002
256MB,256GB,,Plextor,"Plextor M6V 256GB 2.5"" Solid State Drive",,$0.47,[119.99],,Yes,Q4 2006
N/A,32GB,,Corsair,"Corsair Nova 32GB 2.5"" Solid State Drive",,$3.28,[104.99],,Yes,Q3 2006
N/A,256GB,,Crucial,"Crucial RealSSD C300 256GB 2.5"" Solid State Drive",,$0.85,[207.77],,Yes,Q1 2008
N/A,480GB,,Corsair,"Corsair Force Series 3 480GB 2.5"" Solid State Drive",,$0.48,"[229.99, 479.99]",,Yes,Q1 2015
8MB,500GB,,Western Digital,"Western Digital AV 500GB 3.5"" 7200RPM Internal Hard Drive",,$0.090,"[35.99, 188.89]",7200,No,Q4 2008
N/A,160GB,,Corsair,"Corsair Force 160GB 2.5"" Solid State Drive",,$3.54,[567.04],,Yes,Q1 2008
32MB,1TB,,Seagate,"Seagate Barracuda LP 1TB 3.5"" 5900RPM Internal Hard Drive",,$0.13,[129.99],5900,No,Q2 2000
N/A,60GB,,Corsair,"Corsair Force 60GB 2.5"" Solid State Drive",,$2.75,[164.99],,Yes,Q3 2010
N/A,64GB,,Crucial,Crucial M4 64GB mSATA Solid State Drive,,$1.45,"[92.79, 227.77]",,Yes,Q3 2007
N/A,240GB,,Corsair,"Corsair Force 240GB 2.5"" Solid State Drive",,$3.02,[724.99],,Yes,Q1 2008
N/A,64GB,,Corsair,"Corsair Neutron Series 64GB 2.5"" Solid State Drive",,$1.56,[99.99],,Yes,Q2 2002
N/A,64GB,,Corsair,"Corsair Performance 3 Series 64GB 2.5"" Solid State Drive",,$2.89,[184.99],,Yes,Q2 2004
N/A,256GB,,Corsair,"Corsair Performance 3 Series 256GB 2.5"" Solid State Drive",,$2.21,[564.99],,Yes,Q2 2009
N/A,128GB,,Corsair,"Corsair Performance 3 Series 128GB 2.5"" Solid State Drive",,$2.15,[274.99],,Yes,Q2 2000
N/A,240GB,,Corsair,"Corsair Neutron Series 240GB 2.5"" Solid State Drive",,$1.04,[249.99],,Yes,Q4 2006
N/A,240GB,,Corsair,"Corsair Neutron Series GTX 240GB 2.5"" Solid State Drive",,$1.12,[269.99],,Yes,Q3 2015
8MB,320GB,,Toshiba,"Toshiba 320GB 2.5"" 5400RPM Internal Hard Drive",,$0.22,"[69.48, 69.0]",5400,No,Q1 2006
N/A,60GB,,Corsair,"Corsair Force Series 60GB 2.5"" Solid State Drive",,$2.17,[129.99],,Yes,Q4 2012
16MB,2TB,,Seagate,"Seagate Constellation ES 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.067,"[133.99, 201.11]",7200,No,Q1 2011
N/A,180GB,,Corsair,"Corsair Force 180GB 2.5"" Solid State Drive",,$2.42,[434.99],,Yes,Q3 2001
N/A,240GB,,Corsair,"Corsair Force 240GB 2.5"" Solid State Drive",,$1.48,[354.99],,Yes,Q4 2006
N/A,80GB,,Mushkin,"Mushkin Callisto DX2 Series 80GB 2.5"" Solid State Drive",,$2.08,[166.59],,Yes,Q3 2012
N/A,240GB,,Mushkin,"Mushkin Callisto DX2 Series 240GB 2.5"" Solid State Drive",,$1.24,[297.9],,Yes,Q4 2012
N/A,64GB,,Patriot,"Patriot Torqx 2 64GB 2.5"" Solid State Drive",,$2.43,[155.45],,Yes,Q4 2005
16MB,750GB,,Western Digital,"Western Digital 750GB 2.5"" 5400RPM Internal Hard Drive",,$0.084,"[63.32, 64.99, 69.99]",5400,No,Q2 2001
N/A,120GB,,Intel,"Intel 520 Series Cherryville 120GB 2.5"" Solid State Drive",,$1.74,[199.99],,Yes,Q2 2006
N/A,240GB,,OCZ,"OCZ Vertex 3 240GB 2.5"" Solid State Drive",,$1.03,[239.97],,Yes,Q4 2007
N/A,40GB,,Corsair,"Corsair Force 40GB 2.5"" Solid State Drive",,$2.50,[99.99],,Yes,Q2 2006
N/A,90GB,,Corsair,"Corsair Force Series GT 90GB 2.5"" Solid State Drive",,$1.33,[119.99],,Yes,Q4 2012
16MB,160GB,,Toshiba,"Toshiba 160GB 2.5"" 7200RPM Internal Hard Drive",,$0.45,"[71.66, 74.99]",7200,No,Q3 2004
64MB,1TB,,Western Digital,"Western Digital BLACK SERIES 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.074,"[73.88, 73.99, 74.0, 74.99, 76.99, 77.8, 88.99, 88.99]",7200,No,Q3 2009
64MB,1TB,,Toshiba,"Toshiba 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.14,"[131.25, 144.99]",7200,No,Q1 2003
8MB,320GB,,Seagate,"Seagate Momentus 320GB 2.5"" 5400RPM Internal Hard Drive",,$0.19,[59.79],5400,No,Q4 2004
N/A,240GB,,Mushkin,Mushkin Atlas 240GB mSATA Solid State Drive,,$1.03,[246.95],,Yes,Q4 2002
8MB,320GB,,Western Digital,"Western Digital Scorpio Blue 320GB 2.5"" 5400RPM Internal Hard Drive",,$0.18,"[52.95, 85.75]",5400,No,Q1 2005
16MB,500GB,,Samsung,"Samsung Spinpoint F2 EG 500GB 3.5"" 5400RPM Internal Hard Drive",,$0.15,[73.59],5400,No,Q3 2015
16MB,500GB,,Hitachi,"Hitachi Travelstar 500GB 2.5"" 7200RPM Internal Hard Drive",,$0.11,[52.99],7200,No,Q4 2015
N/A,120GB,,Corsair,"Corsair Force Series 3 120GB 2.5"" Solid State Drive",,$1.21,[144.99],,Yes,Q1 2009
8MB,160GB,,Samsung,"Samsung Spinpoint M Series 160GB 2.5"" 5400RPM Internal Hard Drive",,$0.35,[55.99],5400,No,Q4 2013
N/A,120GB,,Patriot,"Patriot Wildfire 120GB 2.5"" Solid State Drive",,$2.39,[287.07],,Yes,Q4 2003
N/A,60GB,,Corsair,"Corsair Nova Series 2 60GB 2.5"" Solid State Drive",,$1.75,[104.99],,Yes,Q4 2009
N/A,180GB,,Intel,Intel 530 180GB mSATA Solid State Drive,,$1.01,[175.0],,Yes,Q2 2006
N/A,120GB,,Samsung,"Samsung SM843TN 120GB 2.5"" Solid State Drive",Yes,$1.31,[149.0],,Yes,Q3 2002
N/A,512GB,,Toshiba,"Toshiba VX500 512GB 2.5"" Solid State Drive",,$0.37,"[188.23, 194.99]",,Yes,Q2 2001
N/A,128GB,,Toshiba,"Toshiba VX500 128GB 2.5"" Solid State Drive",,$0.63,[72.08],,Yes,Q3 2008
N/A,256GB,,Toshiba,"Toshiba VX500 256GB 2.5"" Solid State Drive",,$0.42,[106.68],,Yes,Q2 2007
N/A,1TB,,Toshiba,"Toshiba VX500 1TB 2.5"" Solid State Drive",,$0.36,[349.99],,Yes,Q1 2000
8MB,80GB,,Seagate,"Seagate Momentus 5400.3 80GB 2.5"" 5400RPM Internal Hard Drive",,$0.49,[38.89],5400,No,Q2 2011
N/A,60GB,,Corsair,"Corsair Force Series 3 60GB 2.5"" Solid State Drive",,$2.58,[154.99],,Yes,Q2 2004
16MB,300GB,,Toshiba,"Toshiba 300GB 3.5"" 10000RPM Internal Hard Drive",,$1.30,[389.89],10000,No,Q1 2009
64MB,6TB,,Hitachi,"Hitachi He6 6TB 3.5"" 7200RPM Internal Hard Drive",,$0.056,"[335.0, 449.0]",7200,No,Q3 2002
N/A,60GB,,Patriot,"Patriot Pyro 60GB 2.5"" Solid State Drive",,$2.16,[124.95],,Yes,Q2 2003
N/A,240GB,,G.Skill,"G.Skill Phoenix FTL 240GB 2.5"" Solid State Drive",,$0.58,[139.89],,Yes,Q4 2005
16MB,500GB,,Western Digital,"Western Digital Caviar Green 500GB 3.5"" 5400RPM Internal Hard Drive",,$0.18,"[88.0, 165.0]",5400,No,Q2 2008
N/A,240GB,,Axiom,"Axiom Mac Signature III 240GB 2.5"" Solid State Drive",,$0.99,"[236.67, 239.22]",,Yes,Q3 2008
64MB,6TB,,Hitachi,"Hitachi He6 6TB 3.5"" 7200RPM Internal Hard Drive",,$0.086,[517.99],7200,No,Q4 2011
128MB,4TB,,Seagate,"Seagate Constellation ES.3 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.040,"[159.99, 187.99, 199.99, 215.99, 319.99]",7200,No,Q2 2015
N/A,128GB,,Transcend,Transcend MTS800 128GB M.2-2280 Solid State Drive,,$0.45,"[56.99, 56.99]",,Yes,Q2 2011
64MB,4TB,7.8GB,Seagate,"Seagate 4TB 3.5"" 5900RPM Hybrid Internal Hard Drive",,$0.042,"[166.98, 169.0, 169.0]",5900,No,Q2 2012
1GB,1TB,,Plextor,Plextor M8Pe 1TB PCI-E Solid State Drive,,$0.62,"[621.67, 649.99, 654.97]",,Yes,Q1 2002
N/A,512GB,,Kingston,"Kingston SSDNow KC400 512GB 2.5"" Solid State Drive",,$0.33,"[169.0, 169.99, 171.99, 174.99, 197.73]",,Yes,Q4 2014
N/A,256GB,,Sandisk,Sandisk Z400s 256GB M.2-2280 Solid State Drive,,$0.36,[83.98],,Yes,Q2 2003
N/A,480GB,,Intel,"Intel 540s 480GB 2.5"" Solid State Drive",,$0.35,"[167.18, 169.99, 178.99]",,Yes,Q3 2011
64MB,4TB,7.8GB,Western Digital,"Western Digital Blue 4TB 3.5"" 5400RPM Hybrid Internal Hard Drive",,$0.042,"[169.99, 169.99, 169.99, 173.99]",5400,No,Q3 2013
1GB,1TB,,Plextor,Plextor M8Pe 1TB M.2-2280 Solid State Drive,,$0.54,[539.99],,Yes,Q2 2003
N/A,512GB,,OCZ,OCZ RD400 512GB M.2-2280 Solid State Drive,,$0.62,"[319.99, 329.56]",,Yes,Q3 2008
64MB,500GB,,Western Digital,"Western Digital Caviar Black 500GB 3.5"" 7200RPM Internal Hard Drive",,$0.13,"[65.89, 65.99, 65.99, 66.39, 69.99, 66.99]",7200,No,Q3 2007
128MB,1TB,,Seagate,"Seagate Constellation ES.3 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.099,"[98.99, 99.99, 101.99, 102.29, 119.99]",7200,No,Q4 2004
N/A,120GB,,Sandisk,"Sandisk SSD PLUS 120GB 2.5"" Solid State Drive",,$0.37,"[44.99, 44.99, 45.99, 46.99, 44.99, 44.99, 58.98]",,Yes,Q4 2010
64MB,1TB,,Western Digital,"Western Digital RE4 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.064,[54.88],7200,No,Q1 2013
64MB,2TB,,Western Digital,"Western Digital WD Green 2TB 3.5"" 5400RPM Internal Hard Drive",,$0.045,"[89.88, 89.92]",5400,No,Q3 2000
N/A,1TB,,Intel,"Intel 540s 1TB 2.5"" Solid State Drive",,$0.30,"[299.99, 309.99, 309.99, 368.99]",,Yes,Q1 2014
N/A,960GB,,OCZ,"OCZ Trion 100 960GB 2.5"" Solid State Drive",,$0.29,"[269.94, 396.95]",,Yes,Q3 2010
32MB,500GB,,Seagate,"Seagate 500GB 2.5"" 7200RPM Internal Hard Drive",,$0.093,"[46.42, 49.44, 49.45, 49.45, 57.99, 59.99]",7200,No,Q1 2015
32MB,500GB,,Toshiba,"Toshiba 500GB 3.5"" 7200RPM Internal Hard Drive",,$0.086,"[42.79, 42.84, 44.98, 47.95, 48.86, 44.99]",7200,No,Q4 2009
N/A,480GB,,AMD,"AMD Radeon R3 480GB 2.5"" Solid State Drive",,$0.26,[125.99],,Yes,Q1 2001
128MB,8TB,,Western Digital,"Western Digital Gold 8TB 3.5"" 7200RPM Internal Hard Drive",,$0.055,"[439.99, 431.65, 441.99, 444.99, 468.68, 469.98, 499.99]",7200,No,Q2 2013
N/A,800GB,,Intel,Intel 750 Series 800GB PCI-E Solid State Drive,,$0.75,"[599.99, 599.99, 604.97, 665.99]",,Yes,Q3 2011
N/A,480GB,,Sandisk,"Sandisk Extreme Pro 480GB 2.5"" Solid State Drive",,$0.42,"[199.99, 199.99, 209.0, 209.0, 209.0]",,Yes,Q3 2009
N/A,32GB,,Transcend,"Transcend 32GB 2.5"" Solid State Drive",,$1.04,[24.99],,Yes,Q3 2007
128MB,6TB,,Western Digital,"Western Digital RE 6TB 3.5"" 7200RPM Internal Hard Drive",,$0.045,"[269.99, 269.99, 314.0, 334.99]",7200,No,Q2 2012
N/A,120GB,,AMD,"AMD 120GB 2.5"" Solid State Drive",,$0.67,[71.68],,Yes,Q2 2008
32MB,1TB,,Western Digital,"Western Digital Caviar Black 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.078,"[77.98, 86.0]",7200,No,Q3 2007
64MB,1TB,,Western Digital,"Western Digital Mainstream 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.054,"[53.95, 54.99]",7200,No,Q2 2006
128MB,4TB,,Toshiba,"Toshiba 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.035,[129.96],7200,No,Q1 2009
N/A,128GB,,Kingston,"Kingston SSDNow V+100 128GB 2.5"" Solid State Drive",,$1.98,[253.99],,Yes,Q3 2014
512MB,480GB,,Mushkin,"Mushkin ECO3 480GB 2.5"" Solid State Drive",,$0.25,"[119.89, 127.95, 139.99]",,Yes,Q3 2004
256MB,240GB,,Mushkin,"Mushkin ECO3 240GB 2.5"" Solid State Drive",,$0.30,"[69.99, 79.9, 83.29]",,Yes,Q3 2003
N/A,960GB,,ADATA,"ADATA Premier 960GB 2.5"" Solid State Drive",,$0.28,"[264.95, 274.99, 275.99, 268.92, 304.97]",,Yes,Q4 2002
N/A,250GB,,SK hynix,"SK hynix SL308 250GB 2.5"" Solid State Drive",,$0.31,[77.99],,Yes,Q4 2011
N/A,240GB,,PNY,"PNY CS2211 240GB 2.5"" Solid State Drive",,$0.37,"[89.99, 89.99]",,Yes,Q3 2012
32MB,2TB,,Samsung,"Samsung Spinpoint M9T 2TB 2.5"" 5400RPM Internal Hard Drive",,$0.060,[111.95],5400,No,Q2 2002
256MB,8TB,,Seagate,"Seagate NAS HDD 8TB 3.5"" 7200RPM Internal Hard Drive",,$0.037,"[295.99, 296.98, 296.98, 296.99, 299.0, 296.98, 319.19, 329.99]",7200,No,Q4 2004
8MB,160GB,,Western Digital,"Western Digital Caviar Blue 160GB 3.5"" 7200RPM Internal Hard Drive",,$0.16,"[19.99, 61.99]",7200,No,Q3 2014
32MB,1TB,,Western Digital,"Western Digital Caviar Blue 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.052,"[51.89, 58.32, 89.48]",7200,No,Q1 2004
64MB,4TB,,Hitachi,"Hitachi Deskstar NAS 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.036,"[144.99, 145.99, 150.38, 159.89, 159.99, 161.99, 167.99, 229.99]",7200,No,Q2 2006
8MB,250GB,,Seagate,"Seagate Barracuda 250GB 3.5"" 7200RPM Internal Hard Drive",,$0.12,"[29.95, 23.9]",7200,No,Q3 2007
N/A,1.2TB,,Intel,"Intel 750 Series 1.2TB 2.5"" Solid State Drive",,$0.57,"[689.99, 759.99, 819.99]",,Yes,Q2 2007
N/A,120GB,,Mushkin,"Mushkin ECO2 120GB 2.5"" Solid State Drive",,$0.46,"[54.99, 57.49, 59.97, 55.54]",,Yes,Q1 2009
16MB,250GB,,Western Digital,"Western Digital Caviar Blue 250GB 3.5"" 7200RPM Internal Hard Drive",,$0.17,"[34.5, 61.99]",7200,No,Q1 2011
32MB,1TB,,Seagate,"Seagate Barracuda 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.070,[69.89],7200,No,Q4 2004
64MB,6TB,,Hitachi,"Hitachi He6 6TB 3.5"" 7200RPM Internal Hard Drive",,$0.086,"[517.99, 537.15, 564.97]",7200,No,Q2 2012
64MB,2TB,,Seagate,"Seagate Pipeline HD 2TB 3.5"" 5900RPM Internal Hard Drive",,$0.028,[46.5],5900,No,Q3 2007
128MB,4TB,,Seagate,"Seagate 4TB 2.5"" 5400RPM Internal Hard Drive",,$0.034,[135.98],5400,No,Q4 2002
N/A,400GB,,Intel,Intel 750 Series 400GB PCI-E Solid State Drive,,$0.95,"[381.99, 399.99]",,Yes,Q2 2015
N/A,256GB,,ADATA,"ADATA Premier Pro SP600 256GB 2.5"" Solid State Drive",,$0.36,"[89.99, 89.99]",,Yes,Q3 2010
32MB,1TB,,Western Digital,"Western Digital RE3 1TB 3.5"" 7200RPM Internal Hard Drive",,$0.055,"[45.85, 97.38]",7200,No,Q1 2005
N/A,960GB,,Kingston,"Kingston Savage 960GB 2.5"" Solid State Drive",,$0.31,"[299.5, 310.86, 310.99, 314.99, 310.99, 338.99]",,Yes,Q4 2008
N/A,120GB,,Kingston,"Kingston Savage 120GB 2.5"" Solid State Drive",,$0.65,[78.14],,Yes,Q3 2006
N/A,480GB,,Kingston,Kingston Predator 480GB PCI-E Solid State Drive,,$0.65,"[309.99, 309.99, 309.99]",,Yes,Q3 2002
16MB,500GB,,Seagate,"Seagate Momentus Thin 500GB 2.5"" 5400RPM Internal Hard Drive",,$0.082,"[41.22, 41.99, 42.89, 42.99, 44.99, 51.88, 55.99, 59.0]",5400,No,Q4 2008
N/A,120GB,,Kingston,"Kingston SSDNow V300 Series 120GB 2.5"" Solid State Drive",,$0.40,"[47.49, 47.49, 50.88, 52.0, 52.0, 52.99, 52.99, 59.99, 65.99]",,Yes,Q2 2002
64MB,2TB,,Western Digital,"Western Digital WD Purple 2TB 3.5"" 5400RPM Internal Hard Drive",,$0.040,"[79.88, 79.98, 79.99, 79.99, 84.99, 79.99, 103.99]",5400,No,Q3 2009
64MB,3TB,,Western Digital,"Western Digital WD Purple 3TB 3.5"" 5400RPM Internal Hard Drive",,$0.033,"[99.98, 102.99, 106.99, 106.99, 109.99, 116.99, 123.99, 132.99]",5400,No,Q2 2007
128MB,4TB,,Western Digital,"Western Digital Gold 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.052,"[209.99, 209.99, 220.99, 229.0, 235.98, 234.99]",7200,No,Q2 2008
128MB,6TB,,Western Digital,"Western Digital RE 6TB 3.5"" 7200RPM Internal Hard Drive",,$0.069,[405.01],7200,No,Q2 2012
64MB,2TB,,Western Digital,"Western Digital 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.065,"[129.0, 129.99]",7200,No,Q4 2009
8MB,1TB,,Samsung,"Samsung Spinpoint M8 1TB 2.5"" 5400RPM Internal Hard Drive",,$0.055,[54.99],5400,No,Q4 2014
16MB,320GB,,Western Digital,"Western Digital Caviar Blue 320GB 3.5"" 7200RPM Internal Hard Drive",,$0.17,"[44.99, 64.99, 89.99]",7200,No,Q3 2004
8MB,750GB,,Western Digital,"Western Digital Scorpio Blue 750GB 2.5"" 5400RPM Internal Hard Drive",,$0.071,"[52.99, 52.99, 82.99]",5400,No,Q1 2009
16MB,250GB,,Western Digital,"Western Digital RE3 250GB 3.5"" 7200RPM Internal Hard Drive",,$0.12,"[28.99, 60.05]",7200,No,Q4 2002
64MB,6TB,,Western Digital,"Western Digital Purple NV 6TB 3.5"" 5400RPM Internal Hard Drive",,$0.043,"[257.99, 267.26, 269.99, 269.99, 273.98, 267.99]",5400,No,Q1 2002
64MB,3TB,,Seagate,"Seagate 3TB 3.5"" 7200RPM Internal Hard Drive",,$0.033,"[98.99, 99.47, 109.0, 113.88, 114.0, 109.0, 110.96]",7200,No,Q1 2001
512MB,128GB,,Plextor,Plextor M8Pe 128GB M.2-2280 Solid State Drive,,$0.63,[79.99],,Yes,Q1 2013
N/A,480GB,,PNY,"PNY CS2211 480GB 2.5"" Solid State Drive",,$0.31,"[149.99, 149.99]",,Yes,Q3 2013
N/A,240GB,,Silicon Power,"Silicon Power S60 240GB 2.5"" Solid State Drive",,$0.42,"[99.89, 159.89]",,Yes,Q2 2011
N/A,128GB,,ADATA,"ADATA Premier Pro SP900 128GB 2.5"" Solid State Drive",,$0.44,"[56.43, 57.47, 56.99]",,Yes,Q3 2014
64MB,3TB,,Western Digital,"Western Digital Red Pro 3TB 3.5"" 7200RPM Internal Hard Drive",,$0.057,"[169.98, 174.0, 188.8, 193.99]",7200,No,Q1 2002
N/A,3.2TB,,Intel,Intel DC P3608 3.2TB PCI-E Solid State Drive,,$2.44,"[7799.99, 7805.66]",,Yes,Q1 2006
N/A,960GB,,Corsair,"Corsair Neutron XTi 960GB 2.5"" Solid State Drive",,$0.37,"[353.99, 358.99, 359.99, 353.99, 389.99]",,Yes,Q1 2007
64MB,2TB,7.8GB,Seagate,"Seagate 2TB 3.5"" 7200RPM Hybrid Internal Hard Drive",,$0.075,"[104.99, 149.99, 149.99, 159.99]",7200,No,Q4 2014
64MB,1TB,,Western Digital,"Western Digital Caviar Green 1TB 3.5"" 5400RPM Internal Hard Drive",,$0.054,"[50.0, 69.89]",5400,No,Q2 2001
N/A,400GB,,Intel,"Intel 750 Series 400GB 2.5"" Solid State Drive",,$0.82,"[329.99, 380.0, 380.0]",,Yes,Q3 2011
N/A,256GB,,Transcend,"Transcend 256GB 2.5"" Solid State Drive",,$0.39,"[99.0, 102.99]",,Yes,Q1 2001
N/A,240GB,,Corsair,"Corsair Neutron XTi 240GB 2.5"" Solid State Drive",,$0.42,"[99.99, 99.99, 119.99, 125.99]",,Yes,Q3 2004
N/A,960GB,,PNY,"PNY CS2211 960GB 2.5"" Solid State Drive",,$0.30,"[289.99, 289.99, 294.97, 289.99]",,Yes,Q4 2005
N/A,480GB,,Corsair,"Corsair Neutron XTi 480GB 2.5"" Solid State Drive",,$0.37,"[179.99, 179.99, 179.99, 179.99, 192.46, 199.99]",,Yes,Q4 2003
N/A,32GB,,MyDigitalSSD,MyDigitalSSD Super Boot Drive 32GB M.2-2242 Solid State Drive,,$0.94,[29.99],,Yes,Q2 2011
64MB,2TB,,Western Digital,"Western Digital AV-GP 2TB 3.5"" 5400RPM Internal Hard Drive",,$0.065,[130.99],5400,No,Q1 2005
16MB,320GB,,Seagate,"Seagate Momentus Thin 320GB 2.5"" 7200RPM Internal Hard Drive",,$0.12,[39.99],7200,No,Q4 2014
N/A,128GB,,Samsung,Samsung 128GB M.2-2280 Solid State Drive,,$0.91,[116.95],,Yes,Q1 2005
768MB,512GB,,Plextor,"Plextor M7V 512GB 2.5"" Solid State Drive",,$0.39,[199.95],,Yes,Q2 2007
32MB,500GB,,Western Digital,"Western Digital Black 500GB 2.5"" 7200RPM Internal Hard Drive",,$0.10,"[51.49, 52.88, 52.99, 52.99, 51.49, 63.99, 64.99]",7200,No,Q2 2006
8MB,250GB,,Western Digital,"Western Digital AV-GP 250GB 3.5"" 5400RPM Internal Hard Drive",,$0.066,"[16.45, 55.66]",5400,No,Q2 2001
64MB,4TB,,Seagate,"Seagate 4TB 3.5"" 5900RPM Internal Hard Drive",,$0.035,"[139.99, 134.99, 149.99]",5900,No,Q4 2011
64MB,3TB,,Seagate,"Seagate Barracuda 3TB 3.5"" 7200RPM Internal Hard Drive",,$0.030,"[89.99, 99.99, 99.99, 99.99, 144.99]",7200,No,Q4 2002
N/A,500GB,,Samsung,Samsung 850 EVO 500GB mSATA Solid State Drive,,$0.33,"[167.39, 167.39, 169.99, 171.89, 167.39, 179.99, 179.99, 179.99, 186.98, 266.99]",,Yes,Q3 2000
128MB,2TB,,Seagate,"Seagate Constellation ES.3 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.065,"[129.99, 139.99, 139.99, 144.0, 139.99, 159.99, 209.99]",7200,No,Q4 2008
64MB,500GB,,Western Digital,"Western Digital RE4 500GB 3.5"" 7200RPM Internal Hard Drive",,$0.086,"[42.75, 92.99]",7200,No,Q3 2015
N/A,480GB,,MyDigitalSSD,MyDigitalSSD 80mm BP5e 480GB M.2-2280 Solid State Drive,,$0.29,[139.99],,Yes,Q4 2002
128MB,6TB,,Seagate,"Seagate Archive HDD v2 6TB 3.5"" 5900RPM Internal Hard Drive",,$0.035,[208.99],5900,No,Q1 2000
128MB,8TB,,Hitachi,"Hitachi Ultrastar He8 8TB 3.5"" 7200RPM Internal Hard Drive",,$0.065,[523.78],7200,No,Q4 2012
128MB,5TB,,Hitachi,"Hitachi Deskstar NAS 5TB 3.5"" 7200RPM Internal Hard Drive",,$0.040,[198.89],7200,No,Q1 2012
N/A,1.9TB,,Corsair,"Corsair Neutron XTi 1.9TB 2.5"" Solid State Drive",,$0.39,"[734.99, 749.99, 864.99]",,Yes,Q3 2004
N/A,256GB,,Transcend,Transcend MTS400 256GB M.2-2242 Solid State Drive,,$0.41,"[104.99, 104.99]",,Yes,Q3 2000
8MB,1TB,,Toshiba,"Toshiba 1TB 2.5"" 5400RPM Internal Hard Drive",,$0.053,"[53.5, 53.99, 54.89, 55.99, 61.99, 63.99]",5400,No,Q4 2006
128MB,4TB,,Seagate,"Seagate Constellation ES.3 4TB 3.5"" 7200RPM Internal Hard Drive",,$0.036,"[145.0, 199.95, 204.99, 232.99, 349.98]",7200,No,Q4 2001
N/A,960GB,,OCZ,"OCZ Vector 180 960GB 2.5"" Solid State Drive",,$0.34,[329.99],,Yes,Q1 2006
8MB,1TB,,Hitachi,"Hitachi Travelstar 5K1000 1TB 2.5"" 5400RPM Internal Hard Drive",,$0.063,"[62.88, 64.99, 64.99, 63.99, 91.98]",5400,No,Q4 2012
N/A,32GB,,Sandisk,"Sandisk ReadyCache 32GB 2.5"" Solid State Drive",,$1.91,[61.24],,Yes,Q2 2008
