Cache,Capacity,Hybrid SSD Cache,Manufacturer,Name,Power Loss Protection,Price/GB,Prices,RPM,is_ssd,LAUNCHED
N/A,80GB,,Intel,"Intel 320 Series 80GB 2.5"" Solid State Drive",,$1.78,[142.35],,Yes,Q1 2014
N/A,600GB,,Intel,"Intel 320 Series 600GB 2.5"" Solid State Drive",,$0.67,"[402.28, 399.88]",,Yes,Q2 2006
N/A,275GB,,Crucial,Crucial MX300 275GB M.2-2280 Solid State Drive,,$0.31,"[85.98, 89.88, 89.99, 89.99, 92.5, 92.71, 94.97, 98.99]",,Yes,Q2 2001
64MB,2TB,,Seagate,"Seagate Constellation CS 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.093,[186.11],7200,No,Q3 2012
N/A,240GB,,Corsair,"Corsair Force Series 3 240GB 2.5"" Solid State Drive",,$1.04,[249.99],,Yes,Q3 2004
N/A,120GB,,Samsung,"Samsung 840 EVO 120GB 2.5"" Solid State Drive",,$0.88,"[105.58, 144.89]",,Yes,Q4 2014
N/A,128GB,,Corsair,"Corsair Force Series GS 128GB 2.5"" Solid State Drive",,$0.86,[109.99],,Yes,Q4 2015
N/A,512GB,,OCZ,"OCZ Vector Series 512GB 2.5"" Solid State Drive",,$1.17,[589.88],,Yes,Q4 2011
N/A,1TB,,Samsung,"Samsung 840 EVO 1TB 2.5"" Solid State Drive",,$0.40,[398.98],,Yes,Q4 2004
8MB,640GB,,Toshiba,"Toshiba 640GB 2.5"" 5400RPM Internal Hard Drive",,$0.12,[78.11],5400,No,Q2 2014
N/A,3.8TB,,Samsung,"Samsung PM863 3.8TB 2.5"" Solid State Drive",,$0.52,[1999.95],,Yes,Q3 2008
N/A,120GB,,Mushkin,"Mushkin Chronos Deluxe 120GB 2.5"" Solid State Drive",,$0.67,[79.89],,Yes,Q2 2000
N/A,480GB,,Sandisk,"Sandisk Ultra II 480GB 2.5"" Solid State Drive",,$0.28,"[132.94, 134.0, 134.0, 137.99, 139.89, 139.99, 132.94, 154.99]",,Yes,Q3 2005
N/A,128GB,,Corsair,"Corsair Neutron Series 128GB 2.5"" Solid State Drive",,$1.05,[134.99],,Yes,Q1 2011
N/A,256GB,,Corsair,"Corsair Neutron Series 256GB 2.5"" Solid State Drive",,$0.88,[224.99],,Yes,Q4 2003
N/A,1.2TB,,Intel,Intel 750 Series 1.2TB PCI-E Solid State Drive,,$0.57,"[689.99, 757.99, 794.99, 999.99]",,Yes,Q3 2007
N/A,960GB,,OCZ,"OCZ TRION 150 960GB 2.5"" Solid State Drive",,$0.25,"[239.99, 264.99, 281.99]",,Yes,Q3 2010
N/A,256GB,,Samsung,"Samsung 256GB 2.5"" Solid State Drive",,$0.39,[99.99],,Yes,Q2 2005
N/A,4TB,,Intel,Intel DC P3608 4TB PCI-E Solid State Drive,,$1.96,"[7839.99, 9999.99]",,Yes,Q1 2002
64MB,2TB,,Hitachi,"Hitachi Ultrastar 7K3000 2TB 3.5"" 7200RPM Internal Hard Drive",,$0.075,[149.99],7200,No,Q4 2000
N/A,256GB,,Corsair,"Corsair Performance Series 256GB 2.5"" Solid State Drive",,$3.91,[1001.82],,Yes,Q2 2013
N/A,480GB,,Silicon Power,"Silicon Power Slim S80 480GB 2.5"" Solid State Drive",,$0.62,[299.89],,Yes,Q2 2008
N/A,600GB,,IBM,"IBM 600GB 2.5"" 10000RPM Internal Hard Drive",,$0.41,[224.95],10000,No,Q2 2014
N/A,100GB,,Intel,"Intel 710 Series ( Lyndonville) 100GB 2.5"" Solid State Drive",,$1.28,[119.99],,Yes,Q1 2004
N/A,240GB,,Crucial,Crucial M500 M.2 240GB M.2-2280 Solid State Drive,Yes,$0.74,[177.77],,Yes,Q1 2004
N/A,400GB,,Intel,Intel 750 Series 400GB PCI-E Solid State Drive,,$0.75,"[299.99, 327.95, 329.99, 364.99, 399.88]",,Yes,Q1 2010
N/A,480GB,,Crucial,Crucial M500 M.2 480GB M.2-2280 Solid State Drive,Yes,$0.54,"[257.77, 259.99]",,Yes,Q2 2001
N/A,480GB,,Kingston,"Kingston FURY 480GB 2.5"" Solid State Drive",,$0.32,"[154.99, 154.99, 164.99, 169.99, 169.99, 181.99, 184.99]",,Yes,Q3 2012
N/A,128GB,,Transcend,"Transcend SSD370 128GB 2.5"" Solid State Drive",,$0.45,"[57.33, 57.57, 63.55, 64.71]",,Yes,Q2 2007
